Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
2.36,"(9.78, -0.73, -0.3)","(-0.6, -0.23, 0.18)","(0.04, -0.74, -0.51)"
2.38,"(9.78, -0.75, -0.31)","(-1.4, -0.34, 0.22)","(-0.01, -0.03, 0.17)"
2.4,"(9.77, -0.79, -0.34)","(-1.33, -0.29, 0.1)","(0.03, -0.39, -0.23)"
2.42,"(9.77, -0.82, -0.38)","(-1.34, -0.32, 0.04)","(0.01, -0.14, -0.09)"
2.44,"(9.77, -0.84, -0.4)","(-0.55, -0.04, 0.07)","(0.01, 0.06, -0.25)"
2.46,"(9.76, -0.92, -0.41)","(-1.07, -0.07, 0.14)","(0.01, -0.46, 0.07)"
2.48,"(9.75, -0.99, -0.42)","(-0.77, 0.06, 0.04)","(0.01, -0.11, -0.1)"
2.5,"(9.75, -0.99, -0.39)","(-0.49, 0.4, -0.26)","(0.02, 0.11, -0.56)"
2.52,"(9.75, -0.98, -0.36)","(-0.14, 0.39, -0.1)","(-0.02, 0.46, 0.06)"
2.54,"(9.76, -0.93, -0.27)","(0.1, 1.18, -0.17)","(0.03, 0.36, -1.31)"
2.56,"(9.77, -0.87, -0.16)","(0.68, 1.58, -0.36)","(-0.02, -0.28, -0.68)"
2.58,"(9.77, -0.83, -0.11)","(0.63, 1.02, -0.05)","(-0.06, 0.46, 0.72)"
11.54,"(9.78, -0.81, -0.16)","(0.6, 0.13, 0.08)","(0.09, -3.41, 0.4)"
11.56,"(9.78, -0.8, -0.18)","(0.29, 0.05, 0.01)","(0.06, -1.02, 1.87)"
11.58,"(9.78, -0.8, -0.19)","(0.74, -0.08, -0.2)","(0.15, -2.45, 2.24)"
11.6,"(9.77, -0.81, -0.2)","(0.61, -0.31, -0.19)","(0.06, -0.5, 2.41)"
11.62,"(9.77, -0.83, -0.23)","(0.5, -0.55, -0.15)","(0.01, -0.34, 2.19)"
11.64,"(9.77, -0.85, -0.22)","(0.21, -0.28, 0.1)","(-0.13, 2.59, -1.67)"
11.66,"(9.77, -0.91, -0.21)","(0.5, -0.63, 0.26)","(-0.06, -0.17, 4.7)"
11.68,"(9.76, -0.96, -0.17)","(0.57, -0.36, 0.3)","(-0.1, 0.69, -1.58)"
11.7,"(9.76, -0.99, -0.16)","(0.28, -0.16, 0.13)","(0.05, -0.31, -3.61)"
11.72,"(9.75, -1.04, -0.13)","(0.69, -0.23, 0.14)","(-0.03, -1.51, 1.72)"
11.74,"(9.75, -1.05, -0.11)","(0.61, -0.07, -0.04)","(0.08, 0.06, -2.84)"
11.76,"(9.75, -1.04, -0.11)","(0.59, 0.06, -0.15)","(0.08, -0.13, -2.03)"
11.78,"(9.75, -1.04, -0.11)","(0.54, 0.31, -0.2)","(0.13, -0.77, -3.38)"
11.8,"(9.75, -1.04, -0.1)","(0.25, 0.22, -0.09)","(-0.09, 1.32, 1.51)"
11.82,"(9.75, -1.04, -0.04)","(0.58, 0.84, -0.17)","(0.1, -1.18, -4.33)"
11.84,"(9.75, -1.05, -0.03)","(0.46, 0.62, -0.06)","(-0.09, 0.92, 0.28)"
11.86,"(9.75, -1.05, -0.04)","(0.35, 0.36, -0.05)","(-0.07, 0.59, 0.96)"
11.88,"(9.75, -1.04, -0.08)","(0.09, -0.06, -0.05)","(-0.03, 0.64, 3.66)"
11.9,"(9.75, -1.03, -0.16)","(0.15, -0.27, -0.19)","(0.0, -1.05, 0.06)"
11.92,"(9.75, -1.03, -0.22)","(0.03, -0.56, -0.35)","(0.02, -2.4, 4.5)"
11.94,"(9.76, -0.93, -0.21)","(0.04, -0.51, -0.32)","(-0.06, 5.71, 3.93)"
11.96,"(9.77, -0.87, -0.21)","(-0.26, -0.31, -0.06)","(-0.04, 0.57, -2.82)"
11.98,"(9.78, -0.77, -0.23)","(-1.0, -0.87, 0.03)","(-0.26, 4.21, 4.92)"
12.0,"(9.78, -0.72, -0.27)","(-1.14, -0.68, 0.24)","(-0.04, -0.88, -3.33)"
12.02,"(9.78, -0.73, -0.3)","(-1.29, -0.5, 0.4)","(0.05, -1.0, -2.49)"
12.04,"(9.78, -0.74, -0.31)","(-0.62, -0.14, 0.1)","(0.24, -4.18, -2.19)"
12.06,"(9.77, -0.77, -0.33)","(-1.39, -0.34, 0.19)","(-0.07, 0.35, 0.94)"
12.08,"(9.77, -0.81, -0.36)","(-1.3, -0.25, 0.01)","(0.18, -2.35, -1.6)"
12.1,"(9.77, -0.85, -0.4)","(-1.23, -0.21, 0.11)","(0.01, 0.62, -0.58)"
12.12,"(9.76, -0.88, -0.41)","(-0.5, -0.03, 0.06)","(0.02, -0.44, -0.04)"
12.14,"(9.75, -0.97, -0.42)","(-0.96, -0.08, 0.15)","(0.05, -2.51, 0.6)"
12.16,"(9.75, -0.99, -0.4)","(-0.57, 0.32, -0.17)","(0.13, 0.78, -3.19)"
12.18,"(9.75, -0.98, -0.36)","(-0.37, 0.62, -0.24)","(0.04, 1.21, -2.11)"
12.2,"(9.76, -0.96, -0.31)","(-0.03, 0.55, -0.09)","(-0.11, 1.9, 0.66)"
12.22,"(9.77, -0.9, -0.22)","(0.47, 1.4, -0.24)","(0.11, 0.63, -6.82)"
12.24,"(9.77, -0.84, -0.11)","(0.7, 1.56, -0.38)","(-0.17, -1.21, -1.12)"
12.26,"(9.77, -0.83, -0.11)","(0.55, 0.38, 0.32)","(-0.28, 5.04, 7.46)"
12.28,"(9.78, -0.82, -0.12)","(0.25, 0.15, 0.17)","(0.07, -2.44, 2.72)"
12.3,"(9.78, -0.81, -0.16)","(0.64, 0.12, 0.06)","(0.0, -1.16, -2.01)"
12.32,"(9.78, -0.8, -0.19)","(0.67, -0.01, -0.11)","(0.13, -2.16, 2.84)"
12.34,"(9.78, -0.8, -0.2)","(0.69, -0.14, -0.21)","(0.11, -1.58, 2.56)"
12.36,"(9.77, -0.81, -0.21)","(0.24, -0.26, -0.07)","(-0.02, 0.99, 1.23)"
12.38,"(9.77, -0.84, -0.23)","(0.53, -0.6, -0.11)","(0.06, -1.43, 3.58)"
12.4,"(9.77, -0.89, -0.22)","(0.44, -0.59, 0.23)","(-0.15, 2.41, 1.72)"
12.42,"(9.76, -0.94, -0.19)","(0.53, -0.43, 0.28)","(-0.11, 0.51, -0.59)"
12.44,"(9.76, -0.97, -0.17)","(0.27, -0.17, 0.15)","(0.02, 0.07, -3.93)"
12.46,"(9.76, -1.02, -0.14)","(0.67, -0.28, 0.2)","(-0.06, -1.21, 2.38)"
12.48,"(9.75, -1.05, -0.11)","(0.65, -0.16, 0.06)","(0.05, -0.52, -2.18)"
12.5,"(9.75, -1.04, -0.11)","(0.59, 0.01, -0.13)","(0.11, 0.05, -3.13)"
12.52,"(9.75, -1.04, -0.11)","(0.26, 0.08, -0.08)","(0.04, 0.57, -1.29)"
